,id,text,label,intensity,word_count,char_count,punc_count,range,stop_words
0,10000,fu * k ! heck ! move fridg !... knock landlord door . # angri # mad ##,anger,0.938,18,79,12,0.9 - 1.0,8
1,10001,indian uber driver call someon n word . ' move vehicl ' jump # disgust,anger,0.8959999999999999,23,97,4,0.8 - 0.899,11
2,10002,ask parcel deliv pick store address # fume # poorcustomerservic,anger,0.8959999999999999,19,90,4,0.8 - 0.899,10
3,10003,ef whichev butt wipe pull fire alarm davi bc sound asleep # piss # angri # upset # tire # sad # tire # hangri ######,anger,0.8959999999999999,24,111,13,0.8 - 0.899,5
4,10004,"' join put phone , talk rude . take money acc willynilli ! # fume",anger,0.8959999999999999,24,102,6,0.8 - 0.899,12
5,10005,blood boil,anger,0.875,4,16,0,0.8 - 0.899,2
6,10006,' still get whole season wentworth watch stupid cunt work ruin us ðÿ ˜­ ðÿ ˜­ # rage # oldcunt,anger,0.875,25,114,6,0.8 - 0.899,10
7,10007,"track show equip deliv , ' ? servic suddenli delay ? ' alreadi week . # fume",anger,0.875,22,115,9,0.8 - 0.899,8
8,10008,"legit furiou , peopl fuck idiot .",anger,0.875,14,66,3,0.8 - 0.899,7
9,10009,suppos work ? wtf dude ? thank piss .,anger,0.875,17,62,3,0.8 - 0.899,9
10,10010,im mad power ranger . im incens . im furiou .,anger,0.667,10,46,3,0.6 - 0.699,2
11,10011,wont use use !! guy cant get noth right !! # fume,anger,0.8540000000000001,13,84,7,0.8 - 0.899,1
12,10012,bitch aggrav like inspir biggest cunt know man kind ?,anger,0.8540000000000001,15,68,1,0.8 - 0.899,6
13,10013,"come glasgow night work . fuck gut , wait appear age # rage",anger,0.938,26,115,4,0.9 - 1.0,15
14,10014,fuke fume ðÿ ˜¤,anger,0.8540000000000001,3,16,0,0.8 - 0.899,0
15,10015,zero help custom servic . push buck back forth promis callback donâ €™ happen . # anger # loath,anger,0.8540000000000001,21,116,5,0.8 - 0.899,6
16,10016,mention gra guy stop let ' ppl front go . wtf . blood boil .,anger,0.8540000000000001,24,93,5,0.8 - 0.899,11
17,10017,"hate lawn mower . soul , ' condemn fieri pit hell .",anger,0.833,19,63,4,0.8 - 0.899,10
18,10018,peopl offend kendal end photo shoot like serious shut fuck,anger,0.833,17,73,0,0.8 - 0.899,7
19,10019,' block everyon everywher post storm . think everyon awar damn rain quit . # damn,anger,0.812,25,110,4,0.8 - 0.899,12
20,10020,make buddi cri !! bitch wait reveng ðÿ ¤— ðÿ ‘ œðÿ »,anger,0.812,10,49,2,0.8 - 0.899,2
21,10021,! ' tell true blood hoopjunki switch f * c ' team juz destroy team . juz ' ! # insult,anger,0.8909999999999999,24,108,9,0.8 - 0.899,10
22,10022,get respons # irat custom # amazon ðÿ ˜ žðÿ ˜ ž \ nwhi ' understand ' alway amazon fault ..\ n # carrierfault,anger,0.812,22,126,9,0.8 - 0.899,11
23,10023,"taser immobil , taser someon fuck need shoot one second later ?! realli sick ! # rage # wtf # murder",anger,0.812,25,113,7,0.8 - 0.899,10
24,10024,"way blood boil , littl bastard !",anger,0.792,11,70,5,0.7 - 0.799,3
25,10025,actual fume noth wear saturday,anger,0.792,8,40,0,0.7 - 0.799,3
26,10026,. straight peopl . even ars straight guy think mean threesom fine . # angri # fume,anger,0.792,19,103,6,0.7 - 0.799,6
27,10027,bloodi park ticket ðÿ ˜’ ðÿ ’¸ # fume,anger,0.792,5,34,1,0.7 - 0.799,0
28,10028,ever find peopl around realli irrit sometim ? ' right ðÿ ˜’,anger,0.792,18,84,2,0.7 - 0.799,8
29,10029,get angri peopl ' know ' stop sign franci foster # road,anger,0.792,24,87,3,0.7 - 0.799,15
30,10030,"fuck boil insid , gonna good let .",anger,0.792,17,60,2,0.7 - 0.799,10
31,10031,wow !! bill â £. hav text u prove take â £!!!!! # swine # fume # con !,anger,0.792,24,117,14,0.7 - 0.799,10
32,10032,blame whole season natali ! season would differ turn back allianc ! # piss,anger,0.792,24,106,3,0.7 - 0.799,13
33,10033,sinc ' updat ' lose power nearli % faster . # furiou,anger,0.792,11,59,6,0.7 - 0.799,2
34,10034,' fli fit rage ' fair,anger,0.792,13,52,3,0.7 - 0.799,7
35,10035,unbeliev take minut get ' fault call hang # fume # treatcustomersfairli,anger,0.792,20,113,4,0.7 - 0.799,8
36,10036,blame % fuck idiot put world middl tantrum . one .,anger,0.792,24,115,5,0.7 - 0.799,13
37,10037,' peopl ' infuri !,anger,0.792,5,38,4,0.7 - 0.799,0
38,10038,mine parti decid parti slowli transform veng hell - cult white male resent,anger,0.792,23,112,2,0.7 - 0.799,11
39,10039,# angri order . # month ago place order $. card bill . never # receiv \ n # disappoint,anger,0.7709999999999999,21,111,10,0.7 - 0.799,7
40,10040,still ' log fuck snapchat # snapchat # snap,anger,0.9,8,48,3,0.9 - 1.0,2
41,10041,sam - ye ! help ! need sort asap ! keep promis stuff ' happen !!!! # fume,anger,0.7709999999999999,22,114,11,0.7 - 0.799,8
42,10042,"someon let snake hous , bet kill bugger get hand # rage # huckfp",anger,0.7709999999999999,23,92,6,0.7 - 0.799,11
43,10043,ef whichev butt wipe pull fire alarm davi bc sound asleep # piss # upset # tire # sad # tire # hangri ######,anger,0.7709999999999999,23,105,12,0.7 - 0.799,5
44,10044,"come glasgow night work . fuck gut , wait appear age",anger,0.733,25,108,3,0.7 - 0.799,15
45,10045,feel furiou,anger,0.7709999999999999,3,12,0,0.7 - 0.799,1
46,10046,mexican ladi irrit fuck outta . lil preschool fuck kid welfar & amp ; allllat smh .,anger,0.7709999999999999,23,107,4,0.7 - 0.799,9
47,10047,still ' log fuck snapchat # snapchat,anger,0.7709999999999999,8,43,2,0.7 - 0.799,2
48,10048,blame whole season natali ! season would differ turn back allianc ! # piss # bitter,anger,0.7709999999999999,25,113,4,0.7 - 0.799,13
49,10049,peopl irrit mf soul,anger,0.7709999999999999,5,22,0,0.7 - 0.799,1
50,10050,im angri ðÿ ˜‚ ðÿ ™ ƒ,anger,0.75,4,17,0,0.7 - 0.799,1
51,10051,peopl fuckin irrit,anger,0.75,4,22,0,0.7 - 0.799,1
52,10052,"cruel , cruel man . # therewillbeblood # reveng",anger,0.84,9,56,5,0.8 - 0.899,3
53,10053,way ur angri liter feel ur blood boil,anger,0.75,12,49,0,0.7 - 0.799,4
54,10054,amount greedi mooch make snarl .,anger,0.75,9,54,2,0.7 - 0.799,3
55,10055,mind rage want end,anger,0.75,12,36,0,0.7 - 0.799,8
56,10056,absolut fume woman jump prebook taxi drive ðÿ ˜¡,anger,0.75,14,69,0,0.7 - 0.799,6
57,10057,' noth hate bitter fag,anger,0.75,8,33,1,0.7 - 0.799,3
58,10058,someth need do peopl hog machin - nobodi use machin one time ! # angri # notfair # whypay,anger,0.75,22,116,6,0.7 - 0.799,5
59,10059,ikr peopl still get grudg reason like wtf ?!,anger,0.75,14,64,3,0.7 - 0.799,5
60,10060,say talk uncontrol anim move anoth link . comment help ! # fume,anger,0.75,20,111,4,0.7 - 0.799,8
61,10061,bad news order onlin ' go happen order phone # furiou,anger,0.8440000000000001,23,105,4,0.8 - 0.899,12
62,10062,angri wanna cryðÿ ˜¢ ðÿ ˜¢ ðÿ ˜¢,anger,0.75,5,28,0,0.7 - 0.799,2
63,10063,ooooooooh god uuuugggghhhhhhhhh,anger,0.75,4,31,0,0.7 - 0.799,1
64,10064,boycot till butter pecan come back . furiou,anger,0.75,10,58,2,0.7 - 0.799,2
65,10065,", black peopl still fight recogn human . # cantsleep # angri",anger,0.885,15,78,4,0.8 - 0.899,5
66,10066,mom cut phone ' furiou ðÿ ¤—,anger,0.75,11,37,1,0.7 - 0.799,5
67,10067,thing fee naay rage someth brother fill gap,anger,0.75,21,86,0,0.7 - 0.799,13
68,10068,' believ achil kill ! # angri,anger,0.75,6,35,3,0.7 - 0.799,0
